KEY,ENGLISH,JAPANESE
RESET,RESET,RESET
CONTINUE,CONTINUE,CONTINUE
LOOK LEFT,LOOK LEFT,LOOK LEFT
LOOK RIGHT,LOOK RIGHT,LOOK RIGHT
LOOK CENTER,LOOK CENTER,LOOK CENTER
SELECT A QUESTION,SELECT A QUESTION,SELECT A QUESTION
HOLD TO SELECT,HOLD TO SELECT,HOLD TO SELECT
CLICK TO SELECT,CLICK TO SELECT,CLICK TO SELECT
CLICK TO BEGIN,CLICK TO BEGIN,CLICK TO BEGIN
SELECT A QUESTION TO BEGIN,SELECT A QUESTION TO BEGIN,SELECT A QUESTION TO BEGIN
USE THE MOUSE TO INTERACT,USE THE MOUSE TO INTERACT,USE THE MOUSE TO INTERACT
How do artists approach engineering?,How do artists approach engineering?,How do artists approach engineering?
What is new about new media?,What is new about new media?,What is new about new media?
What is the future of storytelling?,What is the future of storytelling?,What is the future of storytelling?
What is the future of storytelling?,What is the future of storytelling?,What is the future of storytelling?
What happens when games and cinema converge?,What happens when games and cinema converge?,What happens when games and cinema converge?
Why do humans share stories?,Why do humans share stories?,Why do humans share stories?
How do people communicate now?,How do people communicate now?,How do people communicate now?
What drives technological progress?,What drives technological progress?,What drives technological progress?
What is the future of storytelling?,What is the future of storytelling?,What is the future of storytelling?
How does the crowd become a collaborator?,How does the crowd become a collaborator?,How does the crowd become a collaborator?
Has the internet made us more creative?,Has the internet made us more creative?,Has the internet made us more creative?
How is meaning extracted from big data?,How is meaning extracted from big data?,How is meaning extracted from big data?
What can data tell us about ourselves?,What can data tell us about ourselves?,What can data tell us about ourselves?
Why don't we surf the web in 3D?,Why don't we surf the web in 3D?,Why don't we surf the web in 3D?
What is open source all about?,What is open source all about?,What is open source all about?
How does the crowd become a collaborator?,How does the crowd become a collaborator?,How does the crowd become a collaborator?
How can software enhance real world experiences?,How can software enhance real world experiences?,How can software enhance real world experiences?
How do artists influence the future?,How do artists influence the future?,How do artists influence the future?
How do computer systems imitate biological systems?,How do computer systems imitate biological systems?,How do computer systems imitate biological systems?
Why doesn't science value aesthetics?,Why doesn't science value aesthetics?,Why doesn't science value aesthetics?
How do we make maps of memory?,How do we make maps of memory?,How do we make maps of memory?
Does the field of technology remain male dominated?,Does the field of technology remain male dominated?,Does the field of technology remain male dominated?
Does the field of technology remain male dominated?,Does the field of technology remain male dominated?,Does the field of technology remain male dominated?
What can data visualization teach us?,What can data visualization teach us?,What can data visualization teach us?
Why does society need art?,Why does society need art?,Why does society need art?
