SAME PERSON SUPPRESSION FACTOR,LINK FACTOR,DICHOTOMY WEIGHT,LAST CLIP COMMONALITY MULTIPLIER,TWO CLIPS COMMONALITY MULTIPLIER
8.81773,20,2,9.35961,5
Selected Clip,Current Topic, Potential Next Clip,Total Score,linkScore,topicsInCommonScore,topicsInCommonWithPreviousScore,( - ) samePersonOccurrenceScore,dichotomyWeight,voiceOverScore
Philip - with programming you can do whatever,cosmogeny
 , ,Kyle_CH - coding is 1,48.0788,20,28.0788,0,0,0,0
 , ,Casey - Developing a microworld,28.0788,0,28.0788,0,0,0,0
 , ,Kyle_CH - coding 2,28.0788,0,28.0788,0,0,0,0
 , ,Ramsey - minecraft 2,18.7192,0,18.7192,0,0,0,0
 , ,Ramsey - Conway 1,18.7192,0,18.7192,0,0,0,0
 , ,Ramsey - Conway 2,18.7192,0,18.7192,0,0,0,0
 , ,Ramsey - Conway 3,18.7192,0,18.7192,0,0,0,0
 , ,Shiffman - programming the universe,18.7192,0,18.7192,0,0,0,0
 , ,Shiffman - how far could we get?,18.7192,0,18.7192,0,0,0,0
 , ,Marcus - emergence,9.35961,0,9.35961,0,0,0,0
 , ,Ramsey - minecraft 1,9.35961,0,9.35961,0,0,0,0
 , ,Ramsey - elegant system,9.35961,0,9.35961,0,0,0,0
 , ,Shiffman - nature of code book,9.35961,0,9.35961,0,0,0,0
Kyle_CH - coding is 1,cosmogeny
 , ,Ramsey - minecraft 2,62.0788,20,28.0788,10,0,4,0
 , ,Ramsey - Conway 1,62.0788,20,28.0788,10,0,4,0
 , ,Shiffman - programming the universe,58.0788,20,28.0788,10,0,0,0
 , ,Philip - build the whole universe,56.2611,20,28.0788,15,-8.81773,2,0
 , ,Shiffman - how far could we get?,48.7192,20,18.7192,10,0,0,0
 , ,Ramsey - minecraft 1,45.7192,20,18.7192,5,0,2,0
 , ,Theo - magic,43.7192,20,18.7192,5,0,0,0
 , ,Ramsey - emergence from simple rules,22,20,0,0,0,2,0
 , ,Marcus - emergence,16.3596,0,9.35961,5,0,2,0
 , ,Ramsey - elegant system,16.3596,0,9.35961,5,0,2,0
 , ,Shiffman - nature of code book,14.3596,0,9.35961,5,0,0,0
Ramsey - Conway 1,cosmogeny
 , ,Shiffman - programming the universe,63.0788,20,28.0788,15,0,0,0
 , ,Casey - Developing a microworld,52.0788,0,28.0788,20,0,4,0
 , ,Shiffman - Games,43.7192,20,18.7192,5,0,0,0
 , ,Kyle_CH - coding 2,42.9015,0,18.7192,25,-8.81773,8,0
 , ,Casey - 10Print,40.7192,20,18.7192,0,0,2,0
 , ,Vera - Digital life forms,38.7192,20,18.7192,0,0,0,0
 , ,Shiffman - how far could we get?,38.0788,0,28.0788,10,0,0,0
 , ,Jen - a different mathematics,31.3596,20,9.35961,0,0,2,0
 , ,Marcus - emergence,29.7192,0,18.7192,5,0,6,0
 , ,Andres - soft systems 1,29.3596,20,9.35961,0,0,0,0
 , ,Philip - build the whole universe,28.9015,0,18.7192,15,-8.81773,4,0
 , ,Shiffman - nature of code book,14.3596,0,9.35961,5,0,0,0
Shiffman - programming the universe,cosmogeny
 , ,Casey - Developing a microworld,67.0788,20,28.0788,15,0,4,0
 , ,Ramsey - emergence from simple rules,45.9015,20,18.7192,10,-8.81773,6,0
 , ,Marcus - Epic Games predictions,45.3596,20,9.35961,10,0,6,0
 , ,Ramsey - elegant system,41.9015,20,18.7192,10,-8.81773,2,0
 , ,Marcus - modeling consciousness,40.3596,20,9.35961,5,0,6,0
 , ,Martin - starry night,37.3596,20,9.35961,0,0,8,0
 , ,Kyle_CH - coding 2,37.2611,0,28.0788,10,-8.81773,8,0
 , ,Ramsey - minecraft 2,28.9015,0,18.7192,15,-8.81773,4,0
 , ,Ramsey - New Kind of Science,18.5419,20,9.35961,0,-8.81773,-2,0
 , ,Ramsey - minecraft 1,12.5419,0,9.35961,10,-8.81773,2,0
Casey - Developing a microworld,cosmogeny
 , ,Philip - build the whole universe,55.2611,20,28.0788,10,-8.81773,6,0
 , ,Ramsey - Conway 3,53.2611,20,28.0788,10,-8.81773,4,0
 , ,Ramsey - Conway 2,49.6207,0,37.4384,15,-8.81773,6,0
 , ,Karolina - system metaphor,41.7192,20,18.7192,5,0,-2,0
 , ,Marcus - emergence,36.7192,0,18.7192,10,0,8,0
 , ,Ramsey - elegant system,34.5419,20,9.35961,10,-8.81773,4,0
 , ,Shiffman - how far could we get?,34.2611,0,28.0788,15,-8.81773,0,0
 , ,Paola - Thinking by doing,20,20,0,0,0,0,0
 , ,Ramsey - minecraft 1,18.9015,0,18.7192,5,-8.81773,4,0
 , ,Shiffman - nature of code book,5.54187,0,9.35961,5,-8.81773,0,0
Philip - build the whole universe,cosmogeny
 , ,Shiffman - how far could we get?,44.9015,20,18.7192,15,-8.81773,0,0
 , ,Ramsey - minecraft 2,42.9015,20,18.7192,15,-8.81773,-2,0
 , ,Ramsey - emergence from simple rules,40.9015,20,18.7192,5,-8.81773,6,0
 , ,Kyle_CH - coding 2,38.2611,0,28.0788,15,-8.81773,4,0
 , ,Kevin - invented as opposed to discovered 1,29.3596,20,9.35961,0,0,0,0
 , ,Ramsey - elegant system,21.5419,20,9.35961,5,-8.81773,-4,0
 , ,Lauren - swapping perspectives 1,14.3596,0,9.35961,5,0,0,0
 , ,Sophy - are we having fun?,14.3596,0,9.35961,5,0,0,0
ERROR Shiffman - how far could we get? does not have current topic god mode. making free
Shiffman - how far could we get?,god mode
 , ,Ramsey - Conway 3,50.2611,20,28.0788,15,-8.81773,-4,0
 , ,Martin - data revleation,42.7192,20,18.7192,0,0,4,0
 , ,Jen - Predicting weather,40.7192,20,18.7192,0,0,2,0
 , ,Theo - inspired by nature,38.7192,20,18.7192,0,0,0,0
 , ,Martin - birds eye view,29.3596,20,9.35961,0,0,0,0
 , ,Kyle_CH - coding 2,26.9015,0,18.7192,15,-8.81773,2,0
 , ,Andres - modeling the human being,25.0788,0,28.0788,5,0,-8,0
 , ,Theo - magic,23.7192,0,18.7192,5,0,0,0
 , ,Philip - couldn't do this with actual water,22.0837,0,18.7192,15,-17.6355,6,0
 , ,Karolina - system metaphor,21.7192,0,18.7192,5,0,-2,0
 , ,Jer - Pattern,20,20,0,0,0,0,0
 , ,Bruce - beauty of code 3,19.3596,0,9.35961,10,0,0,0
 , ,Bruce - beauty of code 2,19.3596,0,9.35961,10,0,0,0
 , ,Karolina - stasis,19.3596,0,9.35961,10,0,0,0
 , ,Kyle_CH - nature is complex,18.5419,20,9.35961,0,-8.81773,-2,0
 , ,Marcus - code for storytelling,18.3596,0,9.35961,5,0,4,0
 , ,Andres - an overly complex model,18,20,0,0,0,-2,0
 , ,Ramsey - minecraft 2,17.9015,0,18.7192,10,-8.81773,-2,0
 , ,Philip - programming the river,17.0837,0,18.7192,10,-17.6355,6,0
 , ,Casey - emergence,16.9015,0,18.7192,5,-8.81773,2,0
 , ,Karolina - uncanny/sniff,16.3596,0,9.35961,5,0,2,0
 , ,Jer - Generative Art,16.3596,0,9.35961,5,0,2,0
 , ,Theo - funky forest,16.3596,0,9.35961,5,0,2,0
 , ,Marcus - energy flow,16.3596,0,9.35961,5,0,2,0
 , ,Andres - protein folding 1,14.3596,0,9.35961,5,0,0,0
 , ,Andres - protein folding 2,14.3596,0,9.35961,5,0,0,0
 , ,Bruce - Fountain pen,14.3596,0,9.35961,5,0,0,0
