abstraction|-0.0332208276,-0.1024343520,0.1775999069
access|0.2157894522,0.0990282297,0.0928237215
addiction|0.2476103753,-0.0326046646,0.1362259984
aesthetics|-0.0917094797,-0.0266089011,0.2699626088
algorithms|-0.1011042669,-0.2596735656,0.1058542579
animation|-0.1200342923,-0.1514295936,0.0932820588
architecture|0.0269708037,-0.0462546647,0.1952548474
archiving|-0.0128132636,0.0744068101,-0.2010763288
art|-0.0219865777,0.0423002653,0.1539543867
art and code|0.2502900958,-0.0295173395,0.2536753416
art history|-0.0032514390,0.0817063078,0.0228850022
art world|0.1471609175,0.0865036249,0.1910715997
artificial intelligence|-0.0772856623,-0.2737038434,-0.0208767857
artificial life|-0.1732227802,-0.2918224335,0.2883182764
artificiality|-0.0594151504,-0.1118154004,0.0223351959
assistive technology|-0.0295619611,0.1127273887,-0.2528246939
attention|-0.0006812282,0.0361877382,-0.0137569504
audiovisualization|-0.0977005213,0.1422994584,0.3017964363
augmented reality|-0.0775465518,-0.0383378156,-0.0511596426
beauty|-0.1142676473,-0.0154565191,0.2617022097
behavior|-0.2080273181,-0.1351967305,0.0763698891
big data|-0.2111777365,-0.1118475199,-0.2295564413
biology|-0.1184030697,-0.2882226110,0.2007001042
bots|-0.0098357461,-0.3057024479,-0.0571984053
bugs|-0.0045484579,-0.3202796578,0.0679370090
cameras|-0.3031630218,-0.2722175419,-0.1371695548
careers|0.2102580220,0.1302417815,0.0833484605
cellular automata|-0.1979830414,-0.3095098436,0.3603756726
challenges|0.0787412673,-0.1067650765,0.0901333615
chance|-0.0525759533,-0.2356339991,0.3267495036
chaos|-0.1170054972,-0.2798382938,0.0554275289
cinema|-0.3214921951,0.0634222403,0.0257442705
cities|-0.0728176013,-0.1992612481,-0.1073221862
clouds|-0.1909795403,-0.0620986149,-0.0713001862
code|0.1308269799,-0.1386854053,0.1790314764
coding|0.1362078786,-0.1418905407,0.1702591926
collaboration|0.2543938756,0.0594090708,0.0081281019
collective intelligence|0.1581984907,-0.0916297138,-0.1107993275
commercial art|0.2772737741,0.0857685581,0.1831537783
commercialism|0.3283860385,0.0829988793,0.1144403145
communication|-0.0829901546,-0.0145441638,-0.0633893684
community|0.3914612830,0.0770176649,-0.0334952250
complexity|-0.2474107742,-0.2131817639,0.0992176607
computation|-0.0574285947,-0.2936372161,0.1449869126
computers|0.0515230261,-0.2016060650,0.1433138400
consciousness|-0.1509857774,-0.1393404305,-0.0540254600
control|-0.0239126608,-0.2210606337,0.0627901107
creation|-0.1973346770,-0.0677825958,0.2504071295
creative coding|0.2503097951,0.0136208609,0.1256143600
creative misuse|0.0788972676,-0.1641636491,-0.1245199069
creativity|0.0740569383,-0.0217701867,0.2378940135
critical engineering|0.1309525669,-0.1750295013,-0.1150223315
critique|0.0147350458,0.0166232809,0.1305564791
crowdsourcing|0.1588723361,0.0922770724,-0.0675992891
culture|0.0978644416,-0.0139459698,-0.0549686402
cybernetics|-0.0044018338,-0.1715318263,0.3130594194
cyberpunk|-0.0424703844,-0.2009279877,-0.1112947389
cyborg|-0.0767263621,-0.1259005964,-0.1221571937
data|-0.2296306342,-0.0509827286,-0.1574716866
data ownership|-0.1427239031,-0.1087214202,-0.3288305402
