Aaron Koblin : aaronkoblin
Andres Colubri : codeanticode
Bruce Sterling : bruces
Casey Reas : REAS
Chris Sugrue : chrissugrue
Damian Stewart : damian0815
Daniel Shiffman : shiffman
Diederick Huijbers : roxlu
Elliot Woods : ElliotWoods
Fernanda Viegas : viegasf
Golan Levin : golan
Greg Borenstein : atduskgreg
Javier Fadul : inspired12
Jen Lowe : datatelling
Jer Thorp : blprnt
Jesse Louis-Rosenberg : nervous_jesse
Jessica Rosenkrantz : nervous_jessica
Joel Lewis : joelgethinlewis
John Maeda : johnmaeda
Josh Nimoy  : jtnimoy
Julia Kaganskiy  : juliaxgulia
Julian Oliver : julian0liver
Karolina Sobecka  : ksobecka
Karsten Schmidt  : toxi
Kevin Slavin  : slavin
Kyle Chayka  : chaykak
Kyle McDonald : kcimc
Lauren McCarthy  : laurmccarthy
LIA : liasomething
Lindsay Howard  : lindsay_howard
Marcus Wendt : marcuswendt
Marius Watz : mariuswatz
Martin Wattenberg  : wattenberg
Paola Antonelli  : curiousoctopus
Patricio Gonzales Vivo  : patriciogv
Philip Whitfield  : underdoeg
Rachel Binx : RachelBinx
Ramsey Nasser  : ra
Regine Debatty  : wmmna
Shantell Martin  : shantell_martin
Sofy Yuditskaya : horusvacui
Theo Watson  : theowatson
Vera Glahn  : veraglahn
Zach Lieberman  : zachlieberman
