source,target
Aaron - Google Data arts,Golan - useless, whimsical
Aaron - Google Data arts,Golan - why major in art
Aaron - mini-brains 2,Greg - visual effects
Aaron - mini-brains 2,Karolina - Journey
Aaron - mini-brains 2,Kyle_CH - storytelling
Aaron - mini-brains 2,Marcus - simulation to stories
Aaron - mini-brains 2,Marcus - energy flow
Aaron - mini-brains 2,Marcus - energy flow_riot
Aaron - mini-brains 2,Marcus - audience
Aaron - mini-brains 2,Marcus - code for storytelling
Aaron - mini-brains 2,Vera - Energy Flow1
Aaron - mini-brains 2,Vera - Energy Flow2
Aaron - mini-brains 2,Vera - having a protagonist
Aaron - mini-brains 2,Vera - Accessibility through strories
Aaron - story medium,Greg - visual effects
Aaron - story medium,Karolina - Journey
Aaron - story medium,Kyle_CH - storytelling
Aaron - story medium,Marcus - simulation to stories
Aaron - story medium,Marcus - energy flow
Aaron - story medium,Marcus - energy flow_riot
Aaron - story medium,Marcus - audience
Aaron - story medium,Marcus - code for storytelling
Aaron - story medium,Vera - Energy Flow1
Aaron - story medium,Vera - Energy Flow2
Aaron - story medium,Vera - having a protagonist
Aaron - story medium,Vera - Accessibility through strories
Aaron - global communication,Maeda - people are best communicators
Aaron - global communication,Regine - Internet doesn't change things
Aaron - global communication,Sophy - the Cloud
Aaron - global interactions,Kyle_CH - coral reefs
Aaron - different ways of communicating,Kyle_CH - coral reefs
Aaron - different ways of communicating,Maeda - People you're meeting,
Aaron - different ways of communicating,JTNimoy - relating
Aaron - dreaming together,Golan_AMA - World becoming one mind
Aaron - dreaming together,Julia - Who owns the internet?
Aaron - dreaming together,Karsten - DarkNet
Aaron - dreaming together,Philip - in touch all the time
Aaron - dreaming together,Sophy - nanobots
Aaron - dreaming together,Sophy - the Cloud
Aaron - dreaming together,Elliot_UK - Ideaspace
Aaron - exchange of ideas drives progress,Binx - technoutopian
Aaron - exchange of ideas drives progress,Binx - changing the world
Aaron - exchange of ideas drives progress,Marcus - Epic Games predictions
Aaron - exchange of ideas drives progress,Elliot_UK - Ideaspace
Aaron - exchange of ideas drives progress,Theo - newness
Aaron - exchange of ideas drives progress,Julian - toolkit culture
Aaron - autonomous storytellers,Greg - visual effects
Aaron - autonomous storytellers,Karolina - Journey
Aaron - autonomous storytellers,Kyle_CH - storytelling
Aaron - autonomous storytellers,Marcus - simulation to stories
Aaron - autonomous storytellers,Marcus - energy flow
Aaron - autonomous storytellers,Marcus - energy flow_riot
Aaron - autonomous storytellers,Marcus - audience
Aaron - autonomous storytellers,Marcus - code for storytelling
Aaron - autonomous storytellers,Vera - Energy Flow1
Aaron - autonomous storytellers,Vera - Energy Flow2
Aaron - autonomous storytellers,Vera - having a protagonist
Aaron - autonomous storytellers,Vera - Accessibility through strories
Aaron - Crowdsourcing,JTNimoy - 100 artists versus One
Aaron - Crowdsourcing,JTNimoy - one of us
Aaron - sheep market 2,Jer - Software1
Aaron - sheep market 2,Jer - Software2
Aaron - sheep market 2,Jer - Post-capitalism
Aaron - sheep market 2,Jer - post-capitalism2
Aaron - sheep market 2,Marcus - economics question
Aaron - data storytelling,Golan - listening post
Aaron - data storytelling,Shantell - sharing
Aaron - data storytelling,Jer - lives being documented through data
Aaron - webGL,Kyle_CH - Avatars
Aaron - lego creatures,Sophy - nanobots
Aaron - lego creatures,Sophy - computer dream
Aaron - lego creatures,Kyle_CH - MMORPGs
Aaron - lego creatures,Kyle_CH - videogame world
Aaron - lego creatures,Kyle_CH - Polygons
Aaron - exquisite forest,Chris - remote collaboration
Aaron - exquisite forest,Chris - ethic of sharing
Aaron - exquisite forest,Golan - hackathons2
Aaron - exquisite forest,Greg - visual effects
Aaron - exquisite forest,JTNimoy - 100 artists versus One
Aaron - exquisite forest,JTNimoy - one of us
Aaron - exquisite forest,JTNimoy - enough cooks
Aaron - exquisite forest,Karolina - Journey
Aaron - exquisite forest,Kyle_CH - storytelling
Aaron - exquisite forest,Marcus - simulation to stories
Aaron - exquisite forest,Marcus - energy flow
Aaron - exquisite forest,Marcus - energy flow_riot
Aaron - exquisite forest,Marcus - audience
Aaron - exquisite forest,Marcus - code for storytelling
Aaron - exquisite forest,Vera - Energy Flow1
Aaron - exquisite forest,Vera - Energy Flow2
Aaron - exquisite forest,Vera - having a protagonist
Aaron - exquisite forest,Vera - Accessibility through strories
Aaron - exquisite forest 3,Marcus - energy flow
Aaron - exquisite forest 3,Vera - Energy Flow1
Aaron - exquisite forest 3,Vera - Energy Flow2
Aaron - exquisite forest 3,Vera - having a protagonist
Aaron - exquisite forest 3,Vera - Accessibility through strories
Aaron - exquisite forest 3,Zach - drawn2
Aaron - infinity,Kyle_CH - virtual space online
Aaron - infinity,Kyle_CH - coral reefs
Aaron - infinity,Nervous_Jesse - Time in the universe
Aaron - code, story, communication,Zach - Time slows down
Aaron - experience design,Paola - Portal
Aaron - experience design,Jer - everyday experience
Aaron - experience design,Golan - jolted into the NOW
Aaron - experience design,Shantell - Future gesture
Aaron - experience design,Sophy - everyday media
Aaron - experience design,Theo - hide the technology,
Aaron - progress,Julian - science fiction
Aaron - progress,Kyle_CH - storytelling
Aaron - progress,Kyle_CH - Cloud atlas
Aaron - progress,Regine - imagining the future
Aaron - digital trace,Greg - the "Like" button cascade
Aaron - digital trace,Julia - strength of weak ties
Aaron - digital trace,Julia - net friends
Aaron - recombination,Elliot_UK - Laying claim on ideas
Aaron - recombination,JTNimoy - originality
Aaron - recombination,Julian - toolkit culture
Aaron - recombination,Lindsay - collective creativity
Aaron - recombination,Lindsay - memes 2
Aaron - recombination,Maeda - Isn't it supposed to be new?
Aaron - recombination,Casey - Style diffuses
Aaron - recombination,Karsten - dissemination
Binx - actually interesting,Aaron - data experience
Binx - actually interesting,Aaron - data storytelling
Binx - actually interesting,Aaron - infinity
Binx - actually interesting,Golan - listening post
Binx - actually interesting,Golan - open data
Binx - actually interesting,Jer - Pattern
Binx - actually interesting,Jer - lives being documented through data
Binx - actually interesting,Karsten - database
Binx - actually interesting,Karsten - code is information
Binx - actually interesting,Kyle_CH - Future life storage
Binx - actually interesting,Jer - Thought it was boring
Binx - tool for others,Jer - everyday experience
Binx - tool for others,Jer - active not interactive
Binx - tool for others,Julia - what is it doing to us
Binx - tool for others,Maeda - How do you relate to people?
Binx - tool for others,Aaron - stories make our lives worth living
Binx - tool for others,Aaron - code, story, communication
Binx - trips,Golan - emotion
Binx - trips,Golan - listening post
Binx - trips,Golan - open data
Binx - frustrated about visualization,Jer - data visualization
Binx - frustrated about visualization,Karolina - Ocean as metaphor
Binx - frustrated about visualization,Philip - first time computation
Binx - frustrated about visualization,Maeda - people are best communicators
Binx - digestibility,Jer - data visualization
Binx - digestibility,Jer - spoken word
Binx - digestibility,Julia - work in context
Binx - digestibility,Karolina - Ocean as metaphor
Binx - digestibility,Maeda - How do you relate to people?
Binx - digestibility,Marcus - energy flow_riot
Binx - digestibility,Nervous_Jesse - understanding to control 3
Binx - digestibility,Philip - first time computation
Binx - digestibility,Regine - elitist and their gadgets
Binx - digestibility,Vera - Energy Flow2
Binx - tools for storytelling,Golan - listening post
