NeuronNetwork 0
N  0 -1.43169 -1.43169 52.5115 0 0 50 0.423529 0.603922 0.768627 1 0 0 0 0 3331 -0 -0 -1 -1 1 18 
N  1 -1.43169 -1.43169 52.5115 -0 -0 50 0.423529 0.603922 0.768627 1 0 0 0 0 3331 0 0 -1 -1 1 9 
N  2 52.5115 -1.43169 -1.43169 50 0 -2.18557e-06 0.423529 0.603922 0.768627 1 0 0 0 0 3331 -1 -0 4.37114e-08 -1 1 6 
N  3 -48.9914 -1.43169 -1.43169 -50 -4.37114e-06 -2.18557e-06 0.423529 0.603922 0.768627 1 0 0 0 0 3331 1 8.74228e-08 4.37114e-08 -1 2 7 1204 
N  4 -1.43169 -1.43169 -48.9914 -4.37114e-06 -0 -50 0.423529 0.603922 0.768627 1 0 0 0 0 3331 8.74228e-08 0 1 -1 2 8 4524 
N  5 -1.43169 -1.43169 -48.9914 4.37114e-06 3.82137e-13 -50 0.423529 0.603922 0.768627 1 0 0 0 0 3331 -8.74228e-08 -7.64274e-15 1 -1 2 11 857 
N  6 52.1019 -1.13049 -1.13049 49.6765 0.216045 0.216042 0.423529 0.603922 0.768627 1 0 0 0 0 3328 0 0 0 2 2 20 330 
N  7 -48.479 -0.865371 -0.865367 -49.2468 0.406018 0.40602 0.423529 0.603922 0.768627 1 0 0 0 0 3327 0 0 0 3 1 12 
N  8 -0.215478 -0.215472 -48.6345 0.871761 0.871765 -49.4779 0.423529 0.603922 0.768627 1 0 0 0 0 3325 0 0 0 4 1 10 
N  9 0.126323 0.126323 53.3622 1.11717 1.11717 50.6783 0.423529 0.603922 0.768627 1 0 0 0 0 3324 0 0 0 1 2 14 1615 
N  10 -1.06469 -1.06469 -47.5392 0.175781 0.175786 -47.7368 0.494505 0.638984 0.767277 1 0.00689831 -0.21847 0.242912 1 3323 0 0 0 8 1 13 
N  11 0.754534 0.754528 -48.8254 1.57007 1.57007 -49.7586 0.423529 0.603922 0.768627 1 0 0 0 0 3322 0 0 0 5 2 17 36 
N  12 -47.6911 -2.26457 -2.26457 -47.9806 -0.6887 -0.688698 0.470417 0.643124 0.76721 1 -0.0639122 -0.00868108 -0.185135 1 3321 0 0 0 7 1 15 
N  13 -2.14084 -2.38611 -46.8147 -0.723031 -0.901427 -46.4484 0.448034 0.613617 0.767037 1 -0.0306634 -0.248111 0.203909 2 3321 0 0 0 10 2 16 3067 
N  14 -1.10136 -1.10136 51.3502 0.149437 0.149437 49.2199 0.516337 0.625456 0.767305 1 0.0352599 -0.0993356 -0.0265763 1 3319 0 0 0 9 1 19 
N  15 -47.2288 -3.63184 -3.84008 -47.1301 -1.81663 -1.97166 0.430864 0.625864 0.76702 1 -0.11997 -0.102779 -0.0825979 2 3319 0 0 0 12 1 23 
N  16 -3.2623 -3.90966 -46.2554 -1.7029 -2.18611 -45.4432 0.369287 0.63695 0.766851 1 -0.0274935 -0.137371 0.0896925 3 3317 0 0 0 13 1 21 
N  17 -0.117835 -0.11784 -47.7231 0.856399 0.856395 -48.0319 0.509525 0.576879 0.76712 1 -0.128303 -0.140704 0.135183 1 3314 0 0 0 11 2 22 1529 
N  18 0.84729 0.84729 52.614 1.63722 1.63722 50.0813 0.423529 0.603922 0.768627 1 0 0 0 0 3312 0 0 0 0 1 29 
N  19 -2.6402 -2.56524 49.7536 -1.08674 -1.03201 48.0581 0.543874 0.655266 0.767497 1 -0.10705 0.101168 -0.134169 2 3312 0 0 0 14 1 31 
N  20 50.4847 -2.61522 -2.61521 48.5307 -0.943091 -0.943083 0.455479 0.643893 0.767163 1 -0.275454 0.0634297 0.169125 1 3312 0 0 0 6 1 27 
N  21 -4.45804 -5.46887 -45.7609 -2.79429 -3.58094 -44.626 0.305707 0.595911 0.766502 1 -0.0822073 -0.0608829 -0.0499306 4 3312 0 0 0 16 2 34 35 
N  22 -1.26652 -1.57096 -46.9735 -0.0895937 -0.309847 -46.71 0.46991 0.558609 0.766926 1 0.259853 0.193044 0.119201 2 3312 0 0 0 17 1 40 
N  23 -46.5188 -4.73137 -5.2291 -45.8727 -2.80963 -3.1946 0.424231 0.597036 0.766902 1 -0.00498001 -0.0325722 0.0873285 3 3308 0 0 0 15 2 24 111 
N  24 -45.409 -5.26861 -5.89689 -44.0743 -3.42302 -3.92267 0.357655 0.606857 0.766712 1 -0.0214163 -0.0273991 0.144678 4 3306 0 0 0 23 1 25 
N  25 -44.0777 -5.56421 -6.22691 -42.1513 -3.87908 -4.4168 0.386057 0.61206 0.766824 1 0.116037 -0.0658714 -0.0238441 5 3305 0 0 0 24 1 26 
N  26 -42.5305 -5.21502 -6.08231 -40.1489 -3.83602 -4.53736 0.413552 0.61678 0.766932 1 0.339837 0.272469 -0.358245 6 3302 0 0 0 25 2 28 462 
N  27 51.6043 -0.573625 -0.855257 49.5722 0.411483 0.207778 0.528493 0.621568 0.767332 1 -0.0748602 0.29411 -0.257012 2 3301 0 0 0 20 1 30 
N  28 -40.8838 -4.28695 -5.44398 -38.2081 -3.3408 -4.25811 0.353235 0.58161 0.766613 1 0.54417 0.0798954 -0.0755856 7 3300 0 0 0 26 1 56 
N  29 2.7766 2.7766 53.1776 2.98577 2.98577 50.6836 0.41025 0.591399 0.766836 1 -0.0775968 -0.0148874 0.131822 1 3299 0 0 0 18 1 32 
N  30 52.7379 0.972636 0.550892 50.6762 1.40676 1.09427 0.600681 0.61559 0.767554 1 0.125829 0.0403763 -0.089991 3 3297 0 0 0 27 1 43 
N  31 -0.82474 -0.652611 51.068 0.084995 0.21077 49.2824 0.475109 0.681267 0.767354 1 -0.0401838 0.0225577 -0.0316587 3 3296 0 0 0 19 1 33 
N  32 4.45575 4.58041 54.0847 4.21974 4.32267 51.5945 0.349075 0.562458 0.766535 1 -0.141436 -0.106341 -0.0447652 2 3291 0 0 0 29 1 41 
N  33 0.920214 1.14653 52.2871 1.22009 1.39105 50.4834 0.570771 0.677929 0.767662 1 0.203288 0.063919 -0.0943755 4 3289 0 0 0 31 2 37 562 
N  34 -2.03806 -4.08083 -45.1959 -1.1744 -2.71955 -43.8081 0.28292 0.598176 0.766433 1 -0.0297807 0.112475 0.151658 5 3289 0 0 0 21 1 38 
N  35 -1.60308 -4.47594 -45.7217 -0.848155 -3.02388 -44.6257 0.302352 0.628772 0.7666 1 -0.228967 0.205276 -0.053658 5 3286 0 0 0 21 1 52 
N  36 2.76849 2.76848 -48.9421 2.9796 2.97959 -49.9212 0.37565 0.556859 0.766605 1 0.384529 0.207711 0.366825 1 3285 0 0 0 11 2 39 60 
N  37 2.58823 2.53125 53.5292 2.36321 2.31774 51.7498 0.513119 0.710625 0.767579 1 0.392505 0.368515 0.13172 5 3284 0 0 0 33 1 42 
N  38 0.313342 -2.38164 -45.1396 0.415491 -1.64566 -43.88 0.281333 0.621215 0.766505 1 -0.0574578 0.0636827 0.0956712 6 3279 0 0 0 34 1 47 
N  39 4.255 4.95378 -49.5324 4.05538 4.63536 -50.7285 0.42661 0.558057 0.766779 1 0.300895 0.0247923 0.268848 2 3279 0 0 0 36 1 53 
N  40 0.339455 -0.856768 -46.048 0.938297 0.0615995 -45.1073 0.49535 0.596127 0.767137 1 0.116712 0.0806426 0.0524073 3 3277 0 0 0 22 2 48 801 
N  41 5.70768 6.0997 55.3901 5.20002 5.55625 52.8638 0.326758 0.560677 0.766454 1 -0.0412864 -0.103085 0.0717925 3 3276 0 0 0 32 2 44 81 
N  42 4.35673 3.45414 54.9001 3.70655 2.93555 53.1752 0.51965 0.753635 0.767745 1 0.150727 0.122725 -0.0252291 6 3276 0 0 0 37 2 45 861 
N  43 54.391 2.24297 1.8051 52.2564 2.23094 1.89293 0.623051 0.61562 0.767629 1 0.0860658 0.0800149 -0.138168 4 3276 0 0 0 30 2 58 83 
N  44 6.80612 7.39257 56.6771 6.13824 6.72837 54.152 0.427461 0.519407 0.766653 1 -0.0177634 -0.0257287 0.00390223 4 3275 0 0 0 41 2 46 2328 
N  45 5.80238 4.46454 56.182 4.91693 3.68574 54.5908 0.438145 0.737405 0.767418 1 -0.396208 -0.00275918 0.0509576 7 3275 0 0 0 42 1 50 
N  46 7.84002 8.5122 57.9411 7.11726 7.86675 55.47 0.495296 0.501983 0.766822 1 -0.0946297 0.140679 -0.023218 5 3273 0 0 0 44 1 66 
N  47 2.65279 -0.923194 -45.0691 2.12322 -0.740715 -44.0378 0.239098 0.588635 0.766254 1 -0.249106 0.272798 0.431279 7 3273 0 0 0 38 2 49 3917 
N  48 2.14955 0.341309 -45.173 2.15849 0.785599 -43.7108 0.45888 0.6037 0.76704 1 0.0477075 0.039838 -0.0421556 4 3273 0 0 0 40 1 54 
N  49 4.65704 0.128889 -44.9492 3.74227 -0.114492 -44.2334 0.145203 0.586748 0.765934 1 -0.482565 0.0923721 -0.0393643 8 3272 0 0 0 47 3 51 64 7406 
N  50 6.90639 5.78625 57.4944 5.91925 4.80542 56.1257 0.372759 0.773031 0.767318 1 -0.446235 0.169753 0.436077 8 3271 0 0 0 45 1 72 
N  51 6.63202 0.714404 -44.7718 5.54651 0.171007 -44.4482 0.124665 0.565938 0.765796 1 -0.447167 0.0809886 0.172029 9 3271 0 0 0 49 2 61 481 
N  52 0.384931 -5.85267 -45.161 0.470996 -4.34929 -43.913 0.299141 0.641158 0.766631 1 -0.0744459 0.104794 0.0805066 6 3269 0 0 0 35 1 55 
N  53 5.70549 7.10917 -49.5486 5.19806 6.52843 -50.6402 0.413528 0.516563 0.766597 1 0.511225 -0.0859493 0.200099 3 3269 0 0 0 39 1 57 
N  54 2.90158 0.257818 -43.8207 2.6147 0.553687 -41.7899 0.391454 0.578683 0.766731 1 0.312645 0.207074 0.164937 5 3268 0 0 0 48 1 59 
N  55 -0.080476 -7.75139 -44.5428 -0.0834155 -6.22101 -43.2194 0.327512 0.658666 0.766784 1 0.143258 -0.0878043 -0.329281 7 3264 0 0 0 52 2 90 1432 
N  56 -40.0522 -5.58609 -6.58147 -37.3518 -4.60395 -5.42609 0.379851 0.534396 0.766544 1 0.257403 0.0705344 -0.0942865 8 3263 0 0 0 28 2 70 254 
N  57 6.2156 8.85024 -48.6169 5.57302 8.36082 -49.1441 0.508601 0.496707 0.766848 1 0.203798 0.0189606 0.093638 4 3263 0 0 0 53 1 104 
N  58 56.1167 1.31888 0.87196 53.9427 1.36652 1.02236 0.71694 0.623361 0.767969 1 -0.0305744 0.0464332 0.273839 5 3262 0 0 0 43 1 63 
N  59 2.03111 -0.855682 -42.7361 1.76852 -0.483489 -40.4166 0.352639 0.555097 0.766522 1 0.278963 0.474247 -0.406992 6 3261 0 0 0 54 1 62 
N  60 0.801673 1.52411 -48.6826 1.41171 1.94438 -49.4542 0.36635 0.51734 0.766442 1 0.205494 0.114139 0.114747 2 3261 0 0 0 36 1 65 
N  61 7.85157 -1.27635 -44.0524 6.72742 -1.62109 -43.8922 0.19728 0.542019 0.765959 1 -0.260506 0.109645 -0.263346 10 3260 0 0 0 51 1 67 
N  62 0.559775 -2.10488 -41.8263 0.421658 -1.65341 -39.3644 0.259836 0.546654 0.766183 1 0.155163 0.206787 -0.211007 7 3259 0 0 0 59 2 78 143 
N  63 57.2223 0.465265 -0.42849 55.1701 0.533354 -0.156376 0.695596 0.614131 0.767866 1 0.149796 0.292942 0.10269 6 3258 0 0 0 58 1 92 
N  64 4.75511 -2.17397 -43.9324 3.71197 -2.13559 -43.1015 0.189666 0.559579 0.765992 1 -0.322107 0.00661794 0.262576 9 3258 0 0 0 49 1 69 
N  65 -1.20495 0.179532 -48.6108 -0.192645 0.820589 -49.2366 0.448744 0.543291 0.766804 1 -0.104078 0.0646325 0.0636817 3 3258 0 0 0 60 1 75 
N  66 8.17342 9.01188 59.8016 7.4067 8.37688 57.3886 0.584837 0.51039 0.767149 1 0.272189 -0.325079 -0.101297 6 3257 0 0 0 46 2 68 975 
N  67 8.50267 -3.27656 -42.9627 7.31297 -3.3466 -42.7552 0.1742 0.565847 0.765961 1 -0.256485 0.000733774 0.0282411 11 3257 0 0 0 61 1 97 
N  68 7.97982 9.0994 61.6055 7.12709 8.40833 59.4434 0.537163 0.524723 0.767038 1 0.183776 -0.142722 -0.119409 7 3256 0 0 0 66 2 91 7613 
N  69 4.61606 -4.02948 -42.7287 3.45315 -3.77059 -41.6955 0.104255 0.520534 0.765576 1 -0.439175 -0.293855 0.12592 10 3255 0 0 0 64 1 71 
N  70 -39.6249 -7.07379 -7.75121 -37.0294 -6.04917 -6.64265 0.408084 0.573339 0.766769 1 0.190464 -0.124188 -0.21865 9 3254 0 0 0 56 1 76 
N  71 4.76151 -5.83146 -41.3645 3.46075 -5.33102 -40.1 0.10875 0.49799 0.765515 1 -0.27571 0.159012 0.1914 11 3254 0 0 0 69 1 73 
N  72 8.06099 7.38291 58.4742 7.06192 6.32786 57.4422 0.349199 0.742295 0.767137 1 0.127148 -0.150875 0.566954 9 3250 0 0 0 50 1 74 
N  73 4.97867 -7.02127 -39.7594 3.53952 -6.37125 -38.2851 0.0628869 0.453694 0.765214 1 0.312336 0.0585463 0.141548 12 3250 0 0 0 71 2 85 1910 
N  74 9.05155 8.82523 58.3903 8.07863 7.81639 57.7773 0.33608 0.734364 0.767066 1 0.120083 0.0521004 0.291336 10 3247 0 0 0 72 1 79 
N  75 -3.15422 -1.35816 -48.4564 -1.80831 -0.475551 -48.9014 0.447865 0.573275 0.766901 1 -0.0120129 -0.016248 0.0441576 4 3247 0 0 0 65 2 100 2375 
N  76 -37.6827 -7.10624 -7.32009 -35.0956 -6.24129 -6.42342 0.394172 0.552193 0.766651 1 0.0895183 -0.0499817 -0.136413 10 3246 0 0 0 70 2 77 269 
N  77 -35.7085 -6.34881 -6.25304 -33.3152 -5.74408 -5.66711 0.441156 0.551277 0.766805 1 -0.00637525 -0.0442464 0.0123306 11 3245 0 0 0 76 2 106 3087 
N  78 0.582458 -1.64814 -40.0682 0.250379 -1.51634 -37.3703 0.35725 0.508412 0.766381 1 0.322768 0.180936 -0.248335 8 3245 0 0 0 62 1 80 
N  79 10.1783 10.1833 57.5357 9.27137 9.27758 57.3023 0.289909 0.776156 0.767052 1 0.146324 0.0155338 0.217262 11 3241 0 0 0 74 2 82 1319 
N  80 1.92942 0.271551 -38.804 1.18858 -0.191592 -36.1023 0.328576 0.517432 0.766316 1 0.201038 0.181131 -0.538114 9 3241 0 0 0 78 1 96 
N  81 7.11258 7.72545 55.2361 6.44268 7.07837 52.9593 0.397223 0.580279 0.766755 1 0.146573 -0.0848828 0.101422 4 3239 0 0 0 41 2 120 4749 
N  82 11.2586 11.3891 56.4346 10.3911 10.559 56.4496 0.260921 0.789575 0.766999 1 -0.234572 -0.29368 0.250973 12 3236 0 0 0 79 1 84 
N  83 53.9529 3.99984 3.65141 52.1133 3.51821 3.22749 0.609667 0.65635 0.76772 1 -0.272134 0.283701 -0.315789 5 3234 0 0 0 43 2 86 5745 
N  84 12.1239 12.8324 55.3675 11.1898 12.1494 55.4679 0.331989 0.78474 0.767221 1 -0.333716 -0.120958 -0.0307181 13 3233 0 0 0 82 1 114 
N  85 6.87156 -7.87251 -39.3117 5.27729 -7.09066 -38.1864 0.0242197 0.472225 0.765146 1 -0.0835152 0.352744 0.294195 13 3233 0 0 0 73 1 87 
N  86 52.7131 5.25606 4.93886 51.2476 4.50529 4.21969 0.642327 0.660048 0.767842 1 0.226716 0.193442 -0.255801 6 3232 0 0 0 83 1 88 
