source,target
Aaron - Google Data arts,Binx - art for money
Aaron - Google Data arts,Golan - useless, whimsical
Aaron - Google Data arts,Golan - why major in art
Aaron - exciting time,Casey - New modes of expression
Aaron - exciting time,Jen - personal archive 1
Aaron - exciting time,Jer - lives being documented through data
Aaron - exciting time,Jer - Thought it was boring
Aaron - exciting time,Jer - storage
Aaron - exciting time,Jer - spoken word
Aaron - exciting time,Julia - medium of our time
Aaron - exciting time,Kyle_CH - Twitter archive
Aaron - exciting time,Lauren - digital afterlife
Aaron - exciting time,Martin - ubiquitous connectivity
Aaron - exciting time,Zach - Joshua Davis
Aaron - mini-brains,Casey - Something new, totally engrossing
Aaron - mini-brains,Kevin - Acknolwedgement of artifice
Aaron - mini-brains,Kevin - algo stories 1
Aaron - mini-brains,Kevin - algo stories 2
Aaron - mini-brains,Kyle_CH - storytelling
Aaron - mini-brains,Marcus - energy flow
Aaron - mini-brains,Marcus - code for storytelling
Aaron - mini-brains,Vera - Energy Flow1
Aaron - mini-brains,Vera - Energy Flow2
Aaron - mini-brains,Vera - having a protagonist
Aaron - mini-brains,Vera - Accessibility through strories
Aaron - software is a brain,Bruce - Anthropomorphism
Aaron - software is a brain,Bruce - machines don't think 1
Aaron - software is a brain,Bruce - Hi I'm conscious
Aaron - software is a brain,Bruce - networks vs robots
Aaron - software is a brain,Kevin - math havoc 1
Aaron - software is a brain,Kevin - math havoc 2
Aaron - software is a brain,Kevin - cognition vs computation 2
Aaron - software is a brain,Ramsey - independent of any human
Aaron - mini-brains 2,Casey - Something new, totally engrossing
Aaron - mini-brains 2,Kevin - algo stories 1
Aaron - mini-brains 2,Kyle_CH - storytelling
Aaron - mini-brains 2,Marcus - code for storytelling
Aaron - story medium,Casey - Something new, totally engrossing
Aaron - story medium,Kyle_CH - storytelling
Aaron - story medium,Marcus - simulation to stories
Aaron - story medium,Marcus - audience
Aaron - story medium,Marcus - code for storytelling
Aaron - story medium,Vera - Energy Flow1
Aaron - global communication,Kevin - storytelling human to human
Aaron - global communication,Lauren - Social reality circa 2013
Aaron - global communication,Lauren - breaking down barriers
Aaron - global communication,Martin - ubiquitous connectivity
Aaron - global communication,Martin - spread ideas
Aaron - global interactions,Bruce - Textual technologies
