machine : 2.1 NVIDIA-8.26.28 310.40.55b01 : NVIDIA Corporation : NVIDIA GeForce GT 650M OpenGL Engine : display oculusHD
visual system,preset,loadtime,fps
LaplacianTunnel,LaplacianGray,1.50806,46.1881
LaplacianTunnel,LaplacianBlack,1.9978,54.2778
WormHole,lightAndFog_2,0.661865,57.5364
WormHole,lightAndFog,0.407745,57.8711
WormHole,gTunnelv3_03_white,1.40454,58.0017
WormHole,gTunnelv2_05_xrayGray,0.556885,58.2007
WormHole,Aminos_3a,0.930298,57.5853
WormHole,gTunnelv2_03_BrownXray,0.596069,58.0783
WormHole,gTunnelOrganix_10_xray,0.340881,58.0574
WormHole,gTunnelv2_04_white,0.623413,58.0853
WormHole,Aminos_2,0.428467,58.3659
WormHole,gTunnelv2_06_transparent_blue,0.59021,57.7112
WormHole,OrganicTunnel_2_slow,0.590088,58.0783
WormHole,gTunnelv2_01_white,0.658203,58.8491
WormHole,OrganicTunnel_2_White,0.567871,57.6481
WormHole,OrganicTunnel_2_medium,0.235107,57.5086
WormHole,OrganicTunnel_2_fast,0.498535,56.2719
WormHole,OrganicTunnel_2_White_Faster,0.342773,57.6342
Ocean,g_epicLines_01OC,0.422363,11.9971
Ocean,g_FIN_02_Monochrome,0.438538,56.167
Ocean,Exoplanet_dusk_walkOC,0.311035,57.8271
Ocean,ChoppyBlueOcean,0.479248,58.2042
Ocean,g_flatRadicalOC,0.158447,58.3025
Ocean,DunesAtNightOC,0.302856,58.2533
Ocean,StormyOceanOC,0.22168,58.3729
Ocean,DuskOcean_JG,0.443115,58.4223
Ocean,NightOcean_SND,0.477051,57.6971
Ocean,g_FIN_01_Epic,0.432739,3.69592
Ocean,DunesAtNight,0.435059,53.5998
Cosmic,EG_CosmicCornea,0.770161,58.1631
Cosmic,nBody,0.467041,59.2336
VerletForm,JG_does_marius3OC,0.561489,57.9814
VerletForm,JG_does_marius3,0.4664,58.0923
VerletForm,MWLORES_OC,0.408386,58.4718
VerletForm,JG_does_marius2,0.465393,57.9187
VerletForm,JG_does_marius,0.41687,57.6551
VerletForm,MWDarkOC,0.450195,57.5643
Histogram,DataHistogram4,0.421967,57.9505
Histogram,DataHistogram3,0.47644,58.6101
Histogram,Waveform1,0.258423,58.5072
Histogram,Waveform3,0.521851,57.9788
Histogram,Waveform3_GTNonStop,0.508545,57.8165
Histogram,Waveform1_Happen,0.419922,57.8306
Circuit,JG_AggregiousSweep,1.09263,58.7258
Circuit,JM_ZoomOut,0.676025,16.1297
Circuit,JM_LongSweep,0.657349,29.5918
Circuit,JM_ZoomOutIn,0.788086,15.045
OpenP5NoiseSphere,CoolEscalation,0.576851,58.2437
OpenP5NoiseSphere,jm_02aSun_things1OC,0.306641,58.0644
OpenP5NoiseSphere,jm_03a_things2OC,0.348633,58.7276
OpenP5NoiseSphere,gx_work_04a,0.528687,57.9788
OpenP5NoiseSphere,Nervous_ColorsOC,0.493652,57.9293
RGBDVideo,ITP_3OC,0.514549,30.8484
RGBDVideo,ITP_4,0.404907,57.0837
RGBDVideo,ITP_2_omerOC,0.21814,44.8031
RGBDVideo,ITP_5,0.342041,29.1185
RGBDVideo,KoblinSubway_medium,0.53833,26.3817
RGBDVideo,ITP_1OC,0.459717,43.9571
Voro,crystal1,0.274429,58.2077
Voro,Dream_Crystal1,0.595825,49.3553
OpenP5Spaghetti,SmoothScribblesOC,0.461502,58.1421
OpenP5Spaghetti,Fuzzy_galaxyOC,0.459351,58.4117
OpenP5Spaghetti,scribbles,0.193481,58.4647
OpenP5Spaghetti,Green_Lidar2OC,0.73291,9.07801
OpenP5Spaghetti,VioletBlue_Nebula,0.718506,10.9373
Terrain,J_BlackMountains,0.564804,58.3571
Terrain,JM_DrawGoo_rotation,0.710541,58.1465
Terrain,M_DrawGoo,0.508789,58.5214
Terrain,GraySandbox,0.922455,58.0191
Terrain,JM_Terraformer,0.345337,58.4789
Terrain,M_LandscapeTV,0.338013,58.3307
Terrain,M_LiquidTerrain_rotation,0.306152,58.3307
Terrain,M_Terraformer,0.572876,57.5853
Terrain,PurpleSandbox,0.204834,58.0226
OpenP5SpaceJunk,FallingCubes,0.233368,57.9991
OpenP5SpaceJunk,gx_work_01a,0.196014,57.9735
OpenP5SpaceJunk,JM_Sweep_Enormous,0.41272,58.1203
OpenP5SpaceJunk,jm_work_03a,0.464966,57.9646
OpenP5SpaceJunk,StarkCubes,0.581787,56.9236
OpenP5SpaceJunk,DynamicLighting,0.424805,31.932
World,Atomic2,1.34758,26.8713
World,SpaceJunkOC,0.895081,15.4767
World,Social_NetworkOC,1.06207,27.4324
World,Arcs2,0.981689,42.5584
World,AtomicOC,1.38977,24.274
World,g_Intro_03,1.07434,21.0887
World,Arcs,1.03174,42.2876
World,DataWorld1,0.930908,56.3806
World,Data_globe2,1.01416,26.188
Oscillations,Progressive_wormhole_1,0.234634,58.1342
Oscillations,g_waveForm,0.243073,57.8271
RandomDigits2,Matrix_3_slower,0.210922,58.4515
RandomDigits2,Matrix_4_dense,0.450439,58.1098
RandomDigits2,NoiseField,0.165466,58.1203
RandomDigits2,Matrix_5_dense,0.576416,39.8686
CubeCraft,j_05_blue,0.791702,57.608
CubeCraft,MC_shadows,0.603577,28.8552
CubeCraft,j_work_05a_bluegreen,0.416504,58.4718
CubeCraft,Tetris,0.595337,57.9505
CubeCraft,MC_desert3,0.705688,40.6822
CubeCraft,g_work_02a,0.747192,57.1764
CubeCraft,j_FIN_01,0.766479,58.0993
CubeCraft,MC_shadows_1,0.487915,34.383
CubeCraft,g_FIN_02,0.290405,57.9929
CubeCraft,MC_infinite,0.3479,35.8618
CubeCraft,MC_desert2,0.669922,42.4405
Xstatic,Neutrinos_1,0.630859,57.9788
Xstatic,Neutrinos_2,0.475128,58.2042
Xstatic,BouncingBalls,0.590485,58.1465
Xstatic,FastPhysics2_TumblingBoxOC,0.437225,58.3465
Xstatic,BigPong3_yellow,0.453552,53.3971
Xstatic,BigPong3_lavendar,0.514282,58.0993
Xstatic,FastPhysics_TumblingBox,0.503052,57.9646
Xstatic,BouncingBalls_TumblingBox,0.416504,56.7644
OpenP5TextUniverse,twitterOC,0.558624,58.0017
OpenP5TextUniverse,Borges_randomOC,0.188843,58.2955
OpenP5TextUniverse,Borges_random,0.581299,57.3697
Mandala,PureFormEvolving_OC,1.19644,57.8447
Mandala,JM_AlienFusionReactor,1.19763,57.7462
Mandala,JM_pulse1OC,1.29456,57.4738
Mandala,PureFormOC,0.71875,57.4947
Mandala,DinoSkinPlanetOC,1.16772,57.5225
Mandala,JM_AlienFusionReactor2OC,1.40405,57.7322
Mandala,JM_AlienFusionReactor2,1.33545,58.5001
Neurons,Brain_wide_OC,0.53656,15.1231
Neurons,MezzyNeurons_Q,0.13739,46.3438
Neurons,XmasDendrites_OC,0.255005,36.7488
Neurons,MezzyNeuronsOC,0.427124,26.3565
Neurons,VeryNervousSystem_OC,0.449463,48.5613
Replicator,ReplicatorOC,0.624176,12.6996
Replicator,Replicator_organ,0.457458,14.9822
Replicator,Replicator_echoVortex,0.150024,15.442
Replicator,Replicator,0.214844,15.6373
Flying,lush,1.19611,58.2533
Flying,DenseForest_1,0.940063,58.2428
